videoPts: 16217 ,audioPts: 16198 ,diff: 19
videoPts: 16233 ,audioPts: 16219 ,diff: 14
videoPts: 16250 ,audioPts: 16219 ,diff: 31
videoPts: 16267 ,audioPts: 16240 ,diff: 27
videoPts: 16283 ,audioPts: 16250 ,diff: 33
videoPts: 16300 ,audioPts: 16262 ,diff: 38
videoPts: 16317 ,audioPts: 16304 ,diff: 13
videoPts: 16333 ,audioPts: 16304 ,diff: 29
videoPts: 16350 ,audioPts: 16326 ,diff: 24
videoPts: 16367 ,audioPts: 16347 ,diff: 20
videoPts: 16383 ,audioPts: 16357 ,diff: 26
videoPts: 16400 ,audioPts: 16368 ,diff: 32
videoPts: 16417 ,audioPts: 16390 ,diff: 27
videoPts: 16433 ,audioPts: 16421 ,diff: 12
videoPts: 16450 ,audioPts: 16411 ,diff: 39
videoPts: 16467 ,audioPts: 16432 ,diff: 35
videoPts: 16483 ,audioPts: 16475 ,diff: 8
videoPts: 16500 ,audioPts: 16475 ,diff: 25
videoPts: 16517 ,audioPts: 16496 ,diff: 21
videoPts: 16533 ,audioPts: 16518 ,diff: 15
videoPts: 16550 ,audioPts: 16539 ,diff: 11
videoPts: 16567 ,audioPts: 16539 ,diff: 28
videoPts: 16583 ,audioPts: 16539 ,diff: 44
videoPts: 16600 ,audioPts: 16582 ,diff: 18
videoPts: 16617 ,audioPts: 16582 ,diff: 35
videoPts: 16633 ,audioPts: 16624 ,diff: 9
videoPts: 16650 ,audioPts: 16624 ,diff: 26
videoPts: 16667 ,audioPts: 16646 ,diff: 21
videoPts: 16683 ,audioPts: 16667 ,diff: 16
videoPts: 16700 ,audioPts: 16688 ,diff: 12
videoPts: 16717 ,audioPts: 16688 ,diff: 29
videoPts: 16733 ,audioPts: 16710 ,diff: 23
videoPts: 16750 ,audioPts: 16710 ,diff: 40
videoPts: 16767 ,audioPts: 16752 ,diff: 15
videoPts: 16783 ,audioPts: 16774 ,diff: 9
videoPts: 16800 ,audioPts: 16774 ,diff: 26
videoPts: 16817 ,audioPts: 16795 ,diff: 22
videoPts: 16833 ,audioPts: 16816 ,diff: 17
videoPts: 16850 ,audioPts: 16838 ,diff: 12
videoPts: 16867 ,audioPts: 16838 ,diff: 29
videoPts: 16883 ,audioPts: 16859 ,diff: 24
videoPts: 16900 ,audioPts: 16859 ,diff: 41
videoPts: 16917 ,audioPts: 16902 ,diff: 15
